user_id,age,gender,country,sessions_per_week,avg_session_duration_min,swipes_right,swipes_left,matches,messages_sent,relationship_goal,app_version,reported_user,premium_status,subscription_amount
36,52,Male,South Africa,3,23.18,22,17,11,65,Long-term,1.2,Harassment,None,0
37,31,Non-binary,Canada,20,17.19,5,50,0,8,Friendship,2.0,None,None,0
38,22,Male,Nigeria,16,22.91,45,64,4,29,Not Sure,2.1,None,Gold,5000
39,47,Male,Canada,1,16.9,1,3,0,13,Long-term,2.1,None,None,0
40,36,Male,Ghana,12,20.79,17,30,3,23,Casual Dating,1.2,None,None,0
41,23,Male,Nigeria,12,24.9,49,13,4,24,Long-term,2.1,None,Plus,5000
42,39,Male,UK,4,8.42,3,8,1,21,Casual Dating,2.0,None,None,0
43,19,Female,Ghana,9,12.12,38,26,7,45,Marriage,2.0,None,None,0
44,57,Male,Kenya,4,16.93,20,6,1,15,Friendship,2.1,None,Plus,3000
45,29,Male,Nigeria,7,25.28,3,22,1,4,Casual Dating,2.0,None,None,0
46,46,Female,Kenya,5,17.59,6,11,1,20,Friendship,1.2,None,None,0
47,31,Male,Canada,16,19.63,8,78,1,17,Marriage,2.0,None,None,0
48,40,Female,Kenya,8,11.09,6,6,1,7,Friendship,1.2,None,Platinum,1500
49,41,Female,Canada,8,16.73,5,26,0,0,Casual Dating,2.1,None,None,0
50,25,Female,Kenya,15,16.57,109,85,22,133,Marriage,1.0,None,None,0
51,59,Male,Nigeria,2,8.44,3,7,1,8,Marriage,1.1,None,Gold,1500
52,51,Non-binary,Nigeria,4,17.71,8,23,2,24,Long-term,1.1,None,Platinum,5000
53,58,Female,Ghana,4,25.08,7,22,2,25,Not Sure,1.2,None,Gold,5000
54,56,Non-binary,Nigeria,3,19.44,3,21,0,17,Not Sure,1.0,None,Gold,1500
55,43,Male,South Africa,3,10.8,16,6,3,40,Friendship,2.0,None,None,0
56,57,Female,Nigeria,2,15.4,1,7,0,11,Long-term,1.2,None,None,0
57,21,Female,USA,12,14.19,12,94,4,14,Long-term,1.0,None,Gold,3000
58,26,Male,USA,16,25.16,18,48,1,19,Casual Dating,2.1,None,None,0
59,19,Female,Kenya,16,22.19,10,48,2,17,Casual Dating,2.0,None,Gold,1500
60,31,Female,USA,8,23.65,37,24,2,12,Friendship,2.1,None,None,0
61,34,Female,UK,10,18.69,5,46,1,19,Not Sure,1.1,Harassment,None,0
62,29,Male,South Africa,13,16.93,7,29,2,21,Friendship,1.2,None,Gold,3000
63,53,Female,Kenya,3,9.45,5,7,1,9,Marriage,2.0,None,Plus,1500
64,33,Male,Ghana,2,17.69,12,3,3,21,Marriage,2.0,None,Plus,1500
65,30,Female,USA,13,13.74,55,24,4,20,Casual Dating,2.1,Spam,Platinum,1500
66,41,Male,Kenya,6,12.01,18,39,1,21,Long-term,1.2,None,Gold,5000
67,24,Male,Kenya,14,20.43,42,67,2,15,Long-term,1.1,None,None,0
68,52,Male,Nigeria,3,20.26,14,12,3,22,Friendship,2.0,None,None,0
69,21,Female,Kenya,22,19.12,27,64,0,8,Friendship,2.1,None,Gold,5000
70,60,Non-binary,Nigeria,1,10.53,6,2,1,5,Casual Dating,1.0,None,None,0
71,51,Male,Kenya,3,16.46,0,20,0,8,Casual Dating,2.0,None,Platinum,5000
72,26,Male,Kenya,12,27.36,27,71,1,17,Casual Dating,2.1,None,None,0
73,18,Male,Kenya,20,17.49,75,72,8,33,Long-term,2.1,None,None,0
74,53,Female,Nigeria,1,13.85,4,3,1,17,Marriage,2.1,Spam,None,0
75,48,Male,Ghana,4,15.38,5,7,0,17,Casual Dating,2.1,None,Gold,5000
76,49,Male,UK,3,12.91,21,14,4,22,Friendship,2.1,None,Gold,3000
77,51,Female,Kenya,4,17.98,5,4,0,8,Long-term,1.0,None,None,0
78,21,Male,Nigeria,10,21.56,19,23,1,16,Casual Dating,2.1,Harassment,None,0
79,33,Male,Kenya,12,15.07,43,66,8,58,Casual Dating,2.0,None,Platinum,3000
80,22,Male,UK,18,11.56,54,66,4,20,Casual Dating,1.0,None,None,0
81,55,Female,Ghana,4,24.37,9,11,3,29,Not Sure,2.0,None,Gold,3000
82,44,Female,Nigeria,4,22.64,0,0,0,1,Long-term,2.0,None,None,0
83,32,Female,USA,10,23.22,21,16,2,25,Casual Dating,1.1,None,None,0
84,20,Male,Nigeria,10,22.32,38,38,10,63,Long-term,1.1,Spam,None,0
85,31,Female,Nigeria,14,14.78,40,49,13,106,Long-term,2.1,None,None,0
86,31,Male,Kenya,10,13.08,30,92,1,8,Marriage,2.1,None,Plus,3000
87,49,Female,Nigeria,2,22.0,5,9,1,11,Casual Dating,1.1,None,None,0
88,45,Female,South Africa,4,11.89,1,47,0,6,Friendship,2.1,None,Gold,5000
89,56,Female,Ghana,3,5.76,4,16,0,18,Marriage,1.2,None,None,0
90,38,Male,USA,5,18.44,9,7,1,19,Casual Dating,2.0,None,Gold,1500
91,23,Female,Ghana,16,20.22,40,85,5,44,Marriage,1.1,None,None,0
92,48,Female,Ghana,3,26.06,11,4,3,25,Casual Dating,1.2,None,None,0
93,50,Male,Ghana,4,11.31,5,8,1,16,Friendship,2.0,None,None,0
94,42,Female,Ghana,1,13.34,1,2,0,5,Long-term,1.1,None,Gold,3000
95,51,Female,Nigeria,2,13.4,4,11,0,19,Marriage,1.2,None,Gold,5000
96,39,Female,South Africa,8,12.42,8,54,3,27,Long-term,1.2,None,None,0
97,40,Female,Canada,5,19.88,13,25,2,21,Long-term,2.1,None,None,0
98,36,Male,Ghana,6,15.37,3,9,1,18,Friendship,1.0,None,None,0
99,19,Female,Ghana,15,9.88,30,80,6,18,Long-term,2.1,None,None,0
100,22,Female,Nigeria,10,7.61,45,61,3,12,Friendship,2.0,None,Gold,1500
101,19,Male,UK,6,6.63,11,17,1,7,Long-term,2.0,None,Plus,5000
102,45,Male,UK,5,25.81,11,23,1,11,Long-term,1.1,None,None,0
103,31,Male,USA,7,22.35,15,10,0,12,Casual Dating,2.0,None,None,0
104,39,Male,Nigeria,8,14.79,9,33,1,9,Not Sure,1.1,None,Platinum,5000
105,57,Female,UK,2,22.83,4,8,1,13,Not Sure,2.0,Harassment,None,0
106,28,Male,Nigeria,8,23.97,31,36,5,21,Long-term,2.0,None,None,0
107,35,Male,Ghana,6,9.82,41,35,3,29,Marriage,2.1,None,None,0
108,50,Male,Ghana,4,7.21,15,13,1,24,Casual Dating,1.2,None,Gold,3000
109,27,Female,USA,17,16.24,51,130,4,28,Long-term,2.0,None,None,0
110,21,Male,USA,18,18.95,38,127,9,82,Long-term,1.0,None,None,0
111,30,Male,USA,10,6.81,16,11,2,26,Friendship,2.1,Spam,None,0
112,24,Male,UK,12,10.07,110,20,10,39,Friendship,1.1,None,None,0
113,57,Female,Ghana,2,18.71,11,4,1,7,Not Sure,2.0,None,None,0
114,52,Male,USA,2,19.0,1,7,0,6,Long-term,1.2,None,Gold,3000
115,45,Female,Nigeria,5,21.7,4,31,0,15,Not Sure,2.1,None,None,0
116,55,Male,Ghana,3,7.4,16,15,2,5,Long-term,1.2,None,None,0
117,52,Male,Nigeria,4,9.6,5,7,0,4,Casual Dating,1.2,None,None,0
118,26,Male,UK,14,21.27,48,59,9,43,Casual Dating,2.0,None,Gold,5000
119,56,Male,Canada,2,13.03,14,8,2,23,Marriage,1.2,None,Platinum,3000
120,41,Male,Nigeria,6,16.6,26,17,11,86,Friendship,2.1,None,None,0
121,52,Male,Ghana,5,17.69,11,15,1,20,Friendship,1.2,None,None,0
122,56,Male,Kenya,4,18.0,1,12,0,8,Marriage,2.0,None,Gold,3000
123,31,Female,Kenya,18,21.69,50,91,4,29,Casual Dating,1.2,None,Gold,5000
124,22,Male,Ghana,10,9.15,44,46,7,44,Long-term,2.0,None,None,0
125,27,Female,Nigeria,20,14.05,93,59,16,39,Marriage,1.1,None,None,0
126,36,Female,Nigeria,5,19.99,9,25,1,10,Casual Dating,2.1,None,None,0
127,53,Female,South Africa,3,13.2,12,11,1,3,Casual Dating,2.0,None,None,0
128,55,Male,Nigeria,2,27.51,3,8,1,10,Marriage,1.2,None,None,0
129,18,Female,South Africa,15,21.86,13,91,2,18,Long-term,2.1,None,None,0
130,39,Male,Kenya,5,17.55,22,48,6,46,Marriage,1.1,None,None,0
131,35,Male,USA,12,13.29,12,27,1,8,Marriage,2.0,None,Platinum,3000
132,27,Male,South Africa,9,15.94,44,15,8,27,Friendship,2.1,None,Platinum,5000
133,23,Female,USA,14,18.22,2,14,0,14,Friendship,2.0,None,None,0
134,32,Male,Nigeria,10,17.51,8,23,2,19,Friendship,1.2,None,None,0
135,58,Female,Kenya,3,21.75,15,5,1,13,Friendship,2.0,None,None,0
136,31,Male,Canada,13,18.48,6,108,0,13,Friendship,1.2,None,Gold,3000
137,40,Female,Ghana,3,16.9,16,18,4,16,Not Sure,2.1,None,Gold,5000
138,48,Female,Kenya,2,21.23,2,5,0,14,Long-term,1.0,Spam,None,0
139,33,Female,UK,12,17.12,10,80,0,7,Friendship,2.1,None,None,0
140,59,Female,Nigeria,2,14.42,3,2,1,22,Casual Dating,2.0,None,None,0
141,59,Female,Ghana,4,16.03,17,33,3,21,Casual Dating,2.0,None,Plus,5000
142,28,Non-binary,Nigeria,12,12.64,4,14,0,5,Marriage,1.0,Spam,Gold,3000
143,39,Male,Kenya,4,9.58,7,26,1,13,Marriage,2.1,None,None,0
144,30,Male,Nigeria,13,15.78,44,68,2,19,Marriage,1.2,None,Gold,5000
145,30,Female,Nigeria,8,18.02,6,33,1,18,Long-term,1.2,None,None,0
146,19,Male,Ghana,18,25.33,13,56,4,17,Marriage,2.0,Spam,None,0
147,44,Female,USA,5,12.79,19,13,3,20,Not Sure,1.0,None,Gold,5000
148,39,Male,Canada,6,22.57,24,13,4,34,Long-term,2.1,None,Gold,3000
149,20,Female,South Africa,20,10.82,13,113,4,39,Marriage,2.1,None,Gold,5000
150,29,Male,Kenya,13,17.36,13,61,5,25,Casual Dating,1.2,Spam,None,0
151,57,Male,USA,2,18.51,5,11,0,15,Friendship,1.2,None,None,0
152,28,Male,Ghana,8,12.21,8,92,1,9,Not Sure,2.1,None,Plus,1500
153,24,Female,Kenya,12,21.89,17,59,2,18,Long-term,2.1,None,None,0
154,39,Male,Nigeria,4,9.99,11,26,3,15,Marriage,2.0,Spam,Gold,3000
155,60,Female,USA,2,10.75,2,5,0,12,Marriage,2.1,None,Gold,5000
156,28,Female,Ghana,12,13.49,40,15,0,2,Not Sure,1.2,None,None,0
157,46,Female,Canada,4,21.45,6,21,2,17,Casual Dating,1.2,None,Plus,5000
158,50,Male,USA,4,20.14,8,4,0,15,Friendship,2.0,None,None,0
159,28,Male,Ghana,11,17.82,30,44,5,42,Casual Dating,1.2,None,None,0
160,49,Male,USA,4,19.5,33,5,2,9,Not Sure,1.2,None,Plus,5000
161,33,Male,Ghana,10,19.87,6,21,1,14,Marriage,1.1,None,None,0
162,45,Female,Nigeria,7,17.53,23,25,1,14,Casual Dating,2.1,None,Plus,3000
163,45,Non-binary,Ghana,4,12.84,2,15,0,19,Friendship,1.1,None,None,0
164,41,Male,UK,4,11.25,8,5,1,9,Friendship,2.0,None,None,0
165,21,Female,UK,9,15.05,40,72,7,41,Casual Dating,1.2,None,None,0
166,53,Non-binary,South Africa,3,16.92,23,10,12,34,Casual Dating,2.0,None,None,0
167,31,Female,Kenya,12,17.86,24,34,0,10,Marriage,1.1,None,None,0
168,26,Female,Nigeria,8,12.82,27,51,9,55,Friendship,2.1,None,None,0
169,19,Female,Kenya,18,29.25,22,82,0,0,Long-term,2.1,None,Gold,3000
170,43,Male,Canada,3,20.03,16,2,1,18,Casual Dating,2.0,Spam,None,0
171,47,Female,USA,4,14.34,29,26,5,24,Long-term,1.2,Scam,None,0
172,18,Non-binary,USA,22,20.33,178,45,50,158,Long-term,2.0,None,Gold,3000
173,40,Female,USA,10,14.43,56,20,11,65,Marriage,1.0,None,Gold,1500
174,27,Male,South Africa,16,31.22,47,53,2,28,Casual Dating,2.1,None,Platinum,5000
175,45,Male,South Africa,2,11.64,4,7,0,12,Friendship,1.2,None,None,0
176,25,Male,Ghana,11,15.95,4,28,0,5,Marriage,1.0,None,None,0
177,47,Male,Ghana,2,12.76,2,5,0,8,Friendship,2.0,None,None,0
178,34,Female,UK,8,16.77,35,47,9,37,Marriage,1.2,None,None,0
179,58,Female,Kenya,3,14.06,5,12,0,19,Casual Dating,1.2,None,None,0
180,23,Male,USA,18,21.56,68,88,2,20,Long-term,1.2,None,None,0
181,32,Male,USA,17,15.54,18,75,2,21,Friendship,1.0,None,None,0
182,22,Female,USA,16,17.88,11,70,1,9,Long-term,1.1,None,Gold,1500
183,57,Male,Nigeria,4,15.89,15,17,2,21,Casual Dating,1.2,Harassment,None,0
184,55,Male,Nigeria,3,23.68,5,16,0,2,Long-term,1.0,None,Gold,3000
185,29,Female,Kenya,10,22.16,14,18,1,18,Casual Dating,2.0,None,None,0
186,46,Male,USA,1,20.3,1,3,0,15,Casual Dating,1.2,None,None,0
187,53,Male,UK,3,24.14,6,8,1,12,Friendship,1.0,None,Platinum,5000
188,41,Male,Nigeria,3,16.01,1,11,0,16,Casual Dating,2.0,None,Plus,1500
189,40,Female,Kenya,6,17.88,2,21,0,6,Long-term,1.2,None,None,0
190,28,Female,UK,21,18.12,54,74,5,37,Casual Dating,2.0,None,None,0
191,22,Male,Nigeria,12,20.36,33,48,2,30,Long-term,1.2,None,None,0
192,56,Male,Canada,4,24.57,27,8,5,22,Casual Dating,1.2,None,None,0
193,56,Female,Ghana,4,4.61,6,12,1,9,Not Sure,2.0,None,Plus,5000
194,45,Female,UK,4,21.01,4,19,1,8,Marriage,2.1,None,None,0
195,32,Female,Ghana,13,26.03,35,9,5,27,Friendship,2.1,None,Plus,5000
196,33,Female,Kenya,8,23.07,18,34,3,12,Casual Dating,1.2,None,None,0
197,49,Female,Kenya,4,9.11,9,8,2,20,Long-term,2.0,None,None,0
198,56,Female,UK,4,8.18,8,15,1,7,Marriage,1.2,None,None,0
199,56,Female,Kenya,3,17.62,18,2,4,32,Casual Dating,2.0,None,Plus,1500
200,51,Female,South Africa,4,8.47,10,9,1,14,Casual Dating,2.0,None,None,0
201,45,Female,Ghana,3,1.0,21,12,1,19,Not Sure,1.0,None,Gold,5000
202,21,Male,UK,18,22.13,68,14,16,72,Long-term,1.2,None,Gold,3000
203,24,Female,Nigeria,14,25.76,84,16,15,92,Marriage,2.0,Spam,Plus,5000
204,56,Female,Ghana,4,21.73,1,14,0,0,Casual Dating,2.1,None,None,0
205,44,Female,Nigeria,3,22.09,12,14,0,2,Friendship,2.0,None,None,0
206,18,Male,South Africa,12,15.22,16,60,4,43,Long-term,2.0,None,None,0
207,22,Female,Ghana,15,17.13,41,43,8,70,Long-term,1.1,None,Gold,3000
208,46,Female,Nigeria,4,12.13,11,20,2,27,Friendship,1.0,Scam,None,0
209,18,Male,USA,10,11.57,18,3,2,14,Casual Dating,1.1,None,None,0
210,24,Female,Kenya,19,20.31,31,45,1,24,Casual Dating,2.0,None,None,0
211,41,Female,Ghana,5,18.91,11,4,1,21,Long-term,1.0,None,None,0
212,47,Male,Ghana,3,9.04,5,2,1,11,Friendship,1.2,None,None,0
213,46,Male,Ghana,5,8.71,14,17,5,20,Marriage,1.2,None,Platinum,3000
214,27,Female,Nigeria,18,19.55,76,70,12,74,Casual Dating,1.2,None,None,0
215,48,Female,USA,3,22.31,2,4,1,26,Casual Dating,2.0,None,None,0
216,28,Male,Kenya,14,15.95,70,13,21,57,Casual Dating,2.0,None,None,0
217,31,Male,USA,10,24.43,15,25,2,27,Friendship,1.1,None,None,0
218,50,Male,Nigeria,2,16.6,1,3,0,7,Casual Dating,1.2,None,None,0
219,45,Male,Ghana,4,13.7,0,18,0,14,Long-term,2.0,None,None,0
220,54,Male,UK,2,14.19,12,5,3,20,Long-term,2.0,None,None,0
221,46,Female,Kenya,4,13.75,6,27,1,4,Friendship,1.0,None,Gold,5000
222,42,Female,Nigeria,7,15.41,3,10,0,12,Friendship,1.2,None,None,0
223,22,Female,Nigeria,15,23.77,52,125,19,134,Long-term,2.1,None,None,0
224,33,Male,UK,6,8.7,14,29,2,16,Friendship,2.0,None,None,0
225,29,Female,Nigeria,4,10.95,10,6,2,20,Friendship,2.1,None,Gold,3000
226,28,Male,Canada,11,14.42,19,27,2,24,Marriage,2.0,None,None,0
227,59,Female,Nigeria,1,14.34,3,4,0,17,Casual Dating,1.2,None,Gold,1500
228,34,Female,Ghana,10,13.75,27,31,10,49,Long-term,2.0,None,Gold,5000
229,56,Female,Ghana,3,16.01,12,27,1,19,Friendship,2.1,None,None,0
230,45,Male,Nigeria,4,17.02,11,9,1,23,Casual Dating,1.2,Spam,None,0
231,52,Female,Ghana,2,18.21,0,8,0,19,Marriage,2.0,None,None,0
232,39,Female,South Africa,8,22.26,27,27,2,18,Marriage,2.0,None,None,0
233,42,Female,USA,7,19.99,29,11,4,43,Casual Dating,2.0,None,None,0
234,39,Female,Ghana,12,25.95,15,56,3,20,Not Sure,1.2,None,Gold,1500
235,26,Female,USA,9,23.0,34,48,0,5,Marriage,2.1,None,Gold,3000
236,49,Male,USA,2,27.82,3,7,0,3,Casual Dating,2.1,Spam,None,0
237,30,Female,Nigeria,15,25.58,27,112,3,24,Casual Dating,2.1,None,None,0
238,19,Male,Ghana,10,9.77,6,30,0,17,Long-term,2.0,None,Gold,3000
239,45,Male,Nigeria,4,18.43,1,19,0,9,Not Sure,2.0,None,None,0
240,25,Male,Nigeria,11,22.96,21,29,5,32,Long-term,2.1,None,Gold,3000
241,58,Non-binary,USA,3,12.44,18,9,6,30,Not Sure,1.1,Harassment,None,0
242,59,Male,Ghana,4,11.38,7,6,1,5,Not Sure,1.2,Spam,None,0
243,57,Female,South Africa,2,12.77,6,6,0,17,Casual Dating,1.0,None,None,0
244,33,Non-binary,USA,12,18.66,6,9,1,12,Casual Dating,1.2,None,Plus,5000
245,18,Non-binary,Kenya,24,27.26,112,85,32,139,Casual Dating,1.0,None,None,0
246,57,Female,Ghana,4,23.89,15,7,2,21,Long-term,2.1,None,None,0
247,36,Female,South Africa,7,14.64,20,12,4,13,Friendship,2.1,None,None,0
248,59,Male,Nigeria,3,12.09,7,4,1,3,Marriage,1.1,Spam,None,0
249,59,Male,USA,3,18.7,6,17,0,8,Long-term,2.1,None,Gold,5000
250,54,Female,Kenya,3,11.66,13,5,1,14,Friendship,1.2,None,Gold,1500
251,30,Female,South Africa,17,10.67,7,26,1,8,Casual Dating,2.1,None,Platinum,1500
252,34,Male,Canada,14,16.79,5,148,1,4,Friendship,1.0,None,None,0
253,54,Female,Ghana,3,7.22,7,17,2,20,Long-term,2.0,None,Gold,3000
254,31,Female,Nigeria,6,21.51,17,23,1,23,Friendship,2.1,None,Gold,5000
255,25,Female,Nigeria,20,18.73,33,37,2,7,Casual Dating,1.1,None,None,0
256,41,Female,Nigeria,6,13.17,29,12,3,36,Long-term,2.0,None,Gold,5000
257,58,Female,USA,3,19.42,9,3,1,22,Marriage,1.2,None,None,0
258,47,Male,Kenya,2,15.52,3,10,0,4,Marriage,1.2,Harassment,Gold,3000
259,42,Male,Nigeria,7,8.34,10,57,2,8,Friendship,2.0,None,None,0
260,22,Non-binary,USA,16,16.25,40,23,8,33,Long-term,1.1,None,None,0
261,44,Male,Kenya,4,8.73,8,22,0,9,Marriage,1.1,None,Platinum,1500
262,60,Male,South Africa,4,16.54,13,26,1,8,Casual Dating,2.1,Harassment,Gold,3000
263,24,Female,Ghana,16,20.01,6,37,0,18,Long-term,2.0,None,None,0
264,40,Male,Kenya,6,24.19,5,15,0,13,Casual Dating,1.1,None,None,0
265,55,Male,Ghana,3,16.18,3,4,0,18,Casual Dating,1.2,None,None,0
266,49,Male,Kenya,3,10.86,2,5,0,4,Long-term,2.1,None,Platinum,1500
267,47,Male,UK,6,11.81,15,53,0,5,Marriage,1.2,Spam,None,0
268,48,Male,Nigeria,2,12.34,5,5,0,10,Long-term,2.0,Spam,Gold,1500
269,33,Female,Nigeria,7,19.02,11,17,4,35,Marriage,1.1,None,Gold,1500
270,30,Female,Ghana,9,19.21,20,48,1,13,Marriage,1.1,None,Platinum,5000
271,52,Male,Nigeria,3,11.99,6,29,0,19,Marriage,2.0,None,Plus,1500
272,52,Male,USA,4,23.69,21,3,10,73,Casual Dating,1.2,None,None,0
273,55,Male,Kenya,3,22.07,14,13,1,22,Not Sure,2.1,None,Gold,1500
274,57,Female,Kenya,3,19.44,6,5,0,1,Friendship,2.0,None,Plus,3000
275,39,Male,Kenya,6,13.63,14,30,5,10,Casual Dating,2.0,None,None,0
276,39,Non-binary,Nigeria,6,6.88,25,10,4,28,Friendship,1.1,Spam,None,0
277,52,Male,Kenya,3,10.96,4,13,0,10,Friendship,1.1,None,Gold,5000
278,45,Female,South Africa,3,16.18,4,43,1,17,Casual Dating,2.1,None,None,0
279,48,Male,UK,3,12.02,22,6,8,26,Long-term,2.0,None,None,0
280,52,Male,Kenya,4,15.7,11,13,4,28,Friendship,1.0,None,None,0
281,56,Male,Kenya,2,14.35,1,4,0,18,Long-term,1.0,None,None,0
282,32,Female,USA,6,16.82,21,40,6,13,Marriage,1.2,Spam,Plus,3000
283,34,Male,Nigeria,12,13.16,19,83,4,17,Not Sure,2.0,None,Plus,5000
284,22,Male,Kenya,9,23.84,57,18,9,60,Casual Dating,1.0,None,None,0
285,42,Female,Ghana,5,23.44,16,17,3,13,Marriage,2.1,None,Gold,1500
286,19,Male,South Africa,9,21.0,17,39,3,22,Long-term,1.0,None,None,0
287,38,Male,Nigeria,7,20.64,37,24,5,32,Long-term,1.0,None,None,0
288,41,Female,Ghana,5,23.47,9,21,2,15,Marriage,2.1,Scam,None,0
289,30,Female,South Africa,8,8.37,13,37,3,21,Long-term,2.1,None,None,0
290,43,Female,Ghana,5,4.88,8,28,1,19,Casual Dating,2.1,None,None,0
291,19,Male,South Africa,8,20.28,31,44,7,27,Long-term,2.0,None,None,0
292,19,Male,South Africa,18,27.48,28,34,5,38,Long-term,2.1,None,Plus,1500
293,53,Male,Kenya,3,14.09,4,7,1,12,Marriage,1.2,None,Gold,5000
294,33,Female,Nigeria,6,17.08,4,14,0,17,Friendship,1.2,None,Platinum,5000
295,23,Female,Nigeria,15,15.66,46,77,10,78,Long-term,2.0,None,Gold,5000
296,40,Non-binary,UK,6,16.97,5,21,0,2,Long-term,1.2,None,Gold,1500
297,51,Male,South Africa,2,17.61,2,6,1,7,Friendship,2.0,None,None,0
298,27,Female,USA,14,24.65,52,27,5,15,Casual Dating,2.0,None,None,0
299,44,Male,UK,4,22.49,4,9,0,12,Long-term,1.2,None,None,0
300,21,Male,USA,16,18.76,110,31,3,26,Casual Dating,2.0,None,None,0
301,20,Female,South Africa,12,13.86,14,38,2,21,Casual Dating,1.2,None,Platinum,3000
302,40,Male,South Africa,6,14.94,11,16,1,16,Friendship,1.1,None,None,0
303,41,Male,Kenya,6,15.49,9,10,2,16,Marriage,2.0,None,None,0
304,45,Male,Canada,4,22.79,15,3,3,8,Casual Dating,2.0,None,None,0
305,49,Female,Ghana,2,15.01,8,4,2,13,Not Sure,2.0,None,None,0
306,59,Male,Nigeria,3,20.27,9,7,2,13,Long-term,1.2,None,Gold,1500
307,40,Male,Nigeria,8,25.04,34,49,3,24,Friendship,1.2,None,None,0
308,31,Non-binary,USA,7,17.46,10,42,2,11,Friendship,2.0,None,None,0
309,52,Male,Kenya,2,18.08,3,10,0,14,Friendship,2.1,None,None,0
310,29,Male,Nigeria,13,15.94,26,28,2,13,Long-term,1.1,None,None,0
311,36,Female,Ghana,9,19.82,3,27,1,19,Casual Dating,1.0,None,Gold,5000
312,21,Female,USA,16,21.95,56,28,1,14,Long-term,2.1,None,None,0
313,19,Male,Ghana,16,20.25,12,42,2,20,Marriage,2.0,None,None,0
314,59,Female,USA,5,9.4,21,16,7,29,Casual Dating,1.1,None,Plus,3000
315,53,Male,USA,5,20.26,16,11,1,12,Friendship,1.1,None,None,0
316,47,Female,UK,5,24.21,2,14,1,14,Friendship,2.0,None,None,0
317,35,Male,South Africa,8,16.47,52,36,2,8,Friendship,2.0,None,None,0
318,25,Male,South Africa,18,11.18,61,139,6,24,Casual Dating,2.0,None,None,0
319,24,Male,Kenya,6,21.1,26,19,6,29,Long-term,2.1,None,Gold,5000
320,28,Female,Nigeria,5,28.08,9,12,0,7,Not Sure,2.1,None,None,0
321,41,Female,Ghana,7,18.84,50,28,2,14,Casual Dating,1.2,None,None,0
322,48,Female,Nigeria,2,4.2,7,3,1,15,Long-term,1.1,None,Gold,3000
